,id,text,compound,neg,neu,pos
0,0.0,corona phone simply answered rings understand corona caused crowds 2 years later speak outpatient clinic medical question wait least 20 minutes general number answered still chance pushed longer corona consequences failing personnel policy,-0.6124,0.168,0.745,0.088
1,1.0,sweet caring staff mdl surgery ward got blood poisoning surgery staff not acted quickly attentively would not even afterwards placed ic good recovery period help sweet physiotherapist recovered miraculously quickly sisters every one sweet caring spare time spare would come chat,0.9182,0.134,0.516,0.35
2,2.0,last friday called hospital 2 year old son connected children ward 4 times 4 times hung listening story totally unacceptable may busy may not help moment much nicer children ward indicate instead hanging leads frustration,-0.6957,0.219,0.708,0.073
3,3.0,costs call 60 euros per minute watch dirty exploiters not normal bill 662 euros 2 calls together 10 minutes ps not telephone bill costs specified health insurance,-0.4404,0.104,0.896,0.0
4,4.0,let son huge thick elbow sit 2 hours move said called advance put bottom list sitting room really 2 minutes could go,0.3182,0.0,0.892,0.108
5,5.0,gave birth first son better place nice employees eat well really take time happy help 5 stars absolutely,0.9255,0.0,0.453,0.547
6,6.0,discharged urology today otherwise good hospital lovely employees toilets rooms shower could paid attention hygiene,0.7717,0.0,0.66,0.34
7,7.0,today go hospital unexpectedly photo arrange anyone anymore room back parking garage limited mobility really get department called reception 5 minutes friendly man came get wheelchair appointment also made immediately bring back car parking garage unfortunately remember name parking company also function host thank top service,0.4939,0.083,0.772,0.145
8,8.0,totally not helpful friendly phone comment like take paracetemol calls made reason not even listening wanting help bad,-0.5862,0.331,0.478,0.191
9,9.0,sometimes service quite okay making simple appointment almost impossible infinitely long waiting time phone,-0.204,0.174,0.698,0.128
10,10.0,nice big hospital clear road directions spacious parking garage free exit within 15 min,0.8271,0.0,0.558,0.442
11,11.0,better take trouble drive another hospital probably faster helped also sitting waiting room 45 minutes family 4 clearly indicated everywhere 1 supervisor allowed per patient corona people approached nothing else expect hospital yet take corona rules seriously also expected waiting room faster 45 minutes actually not first time taken forever,-0.5859,0.179,0.724,0.097
12,12.0,unfortunately go number specialists speak dr faber dr kandhai dr rovers dr rovers stands head shoulders rest great doctor complaints rest,0.0772,0.185,0.618,0.196
13,13.0,husband 12 days wonderful nurses busy people care attention excellent,0.891,0.0,0.398,0.602
14,14.0,call make appointment immediately told busy wait long time probably work ask call make appointment hmmm not stays always busy ward ok really schedule appointment blood drawn yes busy ward appointment answer make appointment another hospital specialist requests data yes said get crazier,0.5423,0.082,0.765,0.153
15,15.0,everything takes sooooo long simple mri scan sigh weary weary weary 1 week waiting appointment intake interview another week waiting appointment mri scan weeks everything finally happens cry cry,-0.9468,0.467,0.505,0.028
16,16.0,nice doctors nice sweet nurses fine eurologist fine oncologist really everything one word top,0.9001,0.0,0.364,0.636
17,17.0,worst hospital ever call emergency hold 30 minutes,-0.7717,0.528,0.472,0.0
18,18.0,mother 87 already sick friday went reasonably well sat outside saturday morning could not get bed called 8 clock hour line look 12 hours called another hour story doctor duty evening must care sunday monday morning blood clot brain doctor called ambulance helped within 4 hours never recovered passed away 31 10 21 door misdiagnosis day rehabilitation not help anymore also placed nursing home de commons corona reigns corona got got morphine went know got mild corona right get morphine hospital care home think bad state affairs want keep not towards begraafplaatsgaasbeek,-0.0665,0.089,0.815,0.096
19,19.0,september 30 2018 operated dr sybrandy leaking aneurysm brought 02 00 coma next morning already sitting next bed physio chair 11 00 check 28 10 2020 scan called home surgeon dr sybrandy hospital 7 30 next morning day surgery day able go home absolutely great quick response care food excellent video dancing nursing staff great fun finally well deserved relaxation eat apple often checked dr ijsseldijk june 1 2021 due complaints legs june 7 despite pressure hospitals admitted intensive care problem blood vessels legs days taking medication scanning dr van manen solved last problem june 10th june 11th able go home intensive care nursing ward received great help everyone friendly knowledgeable even miserable time corona take hat wonderful people doctors surgeons nurses nurses kitchen staff thank much five star worthy treatment jelle van houten,0.9916,0.072,0.62,0.309
20,20.0,good experience recording department well received guided cared sweet sister also preparation room clear clear communication pleasant know put ease nice chat importantly ask questions looking forward questions time nice relaxing experience zgv top employees care 🇳🇱 well arranged thank toppers experience,0.9895,0.0,0.38,0.62
21,21.0,bad midwifery department bad department netherlands write son new born gets 5 spot body broken angry not hospital butcher shop except many mistakes made woman going baby think twice going hospital tell happened people,-0.9423,0.362,0.638,0.0
22,22.0,food bad old bread etc radboud food good,-0.1531,0.282,0.484,0.234
23,23.0,lots parking space face masks handed visitors necessary hostess hall show way help wait three quarters hour appointment,-0.0772,0.138,0.737,0.124
24,24.0,3 months pain shoulders many physiotherapy treatments went doctor doctor sent hospital lot pain shoulders wait 2 weeks make ultrasound ultrasound found bursitis work study sleep 3 hours night called hospital one assistant angry according wait appointment cortisone injection takes 10 minutes,-0.9423,0.319,0.681,0.0
25,25.0,methyl prednisolone infusions given available tablet form ms patients problems not swallow properly result worse opinion brochure also states not outcome ms patients complete patient information missing drug use sincerely chose,-0.5994,0.21,0.709,0.081
26,26.0,big extensive restaurant information desk toilets elevators recommended,0.2023,0.0,0.795,0.205
27,27.0,forgotten medicines called pharmacy duty everything neatly arranged received medicines days needed friendly staff everything super organized,0.8225,0.078,0.533,0.389
28,28.0,nicely helped skilled patient people despite work pressure lot responsibility emergency room lacks right scissors trimming hardening plaster splints cut effort 2 hands bandage scissors please order right powerful scissors emergency room plaster room saves lot effort,0.3794,0.158,0.628,0.214
29,29.0,hospital nothing waiting 3 hours waiting room sent back visit doctor,0.6072,0.0,0.617,0.383
30,30.0,hi everyone got back emergency room passed twice hard breathe heart attack went help someone paid 200 euros nothing sleepy pseudo doctor help give pills applied health insurance wait 5 days approve application pay reception woman not nice take doctor failure sleepy glasses fogged remind place people help people need live barneveld told go amersfoort dutch state allow ed,-0.7296,0.231,0.634,0.135
