,id,text,compound,neg,neu,pos
0,0.0,"Before Corona, the phone was simply answered after a few rings. I can understand that corona caused crowds. But now we are more than 2 years later and if you have to speak to the outpatient clinic with a medical question, you have to wait at least 20 minutes before the general number is answered. And then there is still a chance that you will be pushed out. These are no longer corona consequences but failing personnel policy!!!",0.0,0.0,0.0,0.0
1,1.0,"Very sweet and caring staff in the mdl and surgery ward. I got blood poisoning after my surgery. If the staff had not acted so quickly and attentively, I would not even have been there. Afterwards I was placed on the IC and had a good recovery period. With the help of the sweet physiotherapist there, he recovered miraculously quickly. And all the sisters, each and every one of them sweet and caring. If they had some spare time to spare, they would come over for a chat.",0.0,0.0,1.0,0.0
2,2.0,"Last Friday I called the hospital for my 2 year old son. Connected to the children's ward 4 times and on all 4 times they hung up after listening to my story. This is totally unacceptable! It may be busy, it may be that you cannot help me at that moment, but then it is much nicer for a children's ward to indicate this instead of hanging up. This only leads to more frustration!",-0.5697,0.424,0.576,0.0
3,3.0,Costs if they call you is 60 euros per minute watch out for these dirty exploiters not normal (bill of 662 euros for 2 calls together nor 10 minutes) ps is not about telephone bill but about their costs that they have specified at the health insurance,-0.2382,0.042,0.958,0.0
4,4.0,Let our son with a huge thick elbow sit for more than 2 hours because he can move it she said!!!! He hadn't called in advance so he was put at the bottom of the list. Sitting in the room is really 2 minutes and then we could go again.,0.0,0.0,1.0,0.0
5,5.0,We gave birth to our first son here and it couldn't have been a better place. Very nice employees and you can eat well. They really take the time for you and are happy to help. 5 stars absolutely.,0.0,0.0,1.0,0.0
6,6.0,Discharged from urology today otherwise good hospital and lovely employees only the toilets in the rooms and shower could be paid more attention to hygiene,0.7717,0.0,0.774,0.226
7,7.0,"Today I had to go to the hospital unexpectedly for a photo. I couldn't arrange anyone anymore and there was only room in the back of the parking garage. I have very limited mobility and I really couldn't get to the department on my own.
I called the reception and after 5 minutes a friendly man came to get me in a wheelchair. An appointment was also made immediately to bring me back to the car in the parking garage. Unfortunately I don't remember the name of this parking company, which also has the function of host, but thank you for this top service!",0.6533,0.061,0.721,0.218
8,8.0,"Totally not helpful or friendly on the phone with a comment like 'just take paracetemol'.
Calls are made for a reason and not even listening or wanting to help is just bad.",-0.2023,0.173,0.693,0.134
9,9.0,"Sometimes the service is quite okay, but making a simple appointment is almost impossible. Infinitely long waiting time on the phone.",0.0,0.0,1.0,0.0
10,10.0,Nice and big hospital. Clear road directions. Spacious parking garage. Free exit within 15 min.,0.5106,0.0,0.548,0.452
11,11.0,"It is better to take the trouble to drive to another hospital yourself, this is probably faster than being helped here. Furthermore, I have been sitting here in the waiting room for 45 minutes with a family of 4 while it is very clearly indicated everywhere that only 1 supervisor is allowed per patient because of Corona, these people have been approached once but nothing else, you expect from a hospital still that they take Corona rules more seriously. I also expected to be out of the waiting room faster than 45 minutes actually. It's not the first time it's taken forever here.",0.0,0.0,1.0,0.0
12,12.0,"Unfortunately had to go to a number of specialists, but to speak about all of them. Dr Faber, Dr Kandhai and Dr Rovers.

Dr Rovers stands head and shoulders above the rest. What a great doctor this is!! No complaints about the rest.",-0.5994,0.62,0.38,0.0
13,13.0,"My husband has been here for 12 days. What wonderful nurses, and how busy these people are. Care and attention was excellent.",0.7845,0.0,0.303,0.697
