,id,text,compound,neg,neu,pos
0,0.0,['totally disagree wait surgery bloody hospital'],-0.6997,0.592,0.408,0.0
1,1.0,['receptionist rude makes wait phone waiting 50 minutes response doctor blood test ready week ago suddenly gone hospital keeps waiting nothing'],-0.128,0.122,0.776,0.102
2,2.0,['great sister handsome'],0.8074,0.0,0.12,0.88
3,3.0,['satisfied corona booster risk group go back school without infected shame wait wasnt picked right away also exciting'],0.8435,0.08,0.495,0.425
4,4.0,['unfortunately lung cancer chance surviving sisters nice bad spend last days dont like food anymore even though free also annoying not allowed smoke inside dont energy walk'],-0.7666,0.383,0.384,0.233
5,5.0,['broke ribs hurts lot sit emergency room waiting room half hour nice situation lie not well arranged'],-0.7589,0.411,0.478,0.111
6,6.0,['give birth hospital teenage mother midwives told give child new boyfriend take good care children already 3 children exes im angry midwives gave opinion think im bad mother'],-0.1779,0.189,0.641,0.17
7,7.0,['ive recorded say corona thats total bullshit im not dead dry get poison syringe everyone vote thierry baudet'],-0.5938,0.284,0.583,0.134
8,8.0,['ive blood tests results arent yet wait dont know im always short breath im not getting treatment rash'],0.3089,0.0,0.883,0.117
9,9.0,['top hospital pay 1006 euros treatment not work cant pay'],0.0,0.241,0.603,0.155
10,10.0,['care poor waiting time simple surgery knee two months'],0.0258,0.233,0.526,0.241
11,11.0,['receptionist curt wait long time waiting room'],0.0,0.0,1.0,0.0
12,12.0,['everything well arranged 10 euros per hour parking expensive'],0.2732,0.0,0.792,0.208
13,13.0,['hospital still believes corona hoax muzzles everything disgusting'],-0.6705,0.478,0.522,0.0
14,14.0,['well done nothing complain aftercare order'],0.4956,0.0,0.487,0.513
15,15.0,['casually diagnose treatment make easy'],0.5574,0.0,0.395,0.605
16,16.0,['came sex change operation hurt lot'],-0.5267,0.405,0.595,0.0
17,17.0,['cant say anything good catering'],-0.3412,0.376,0.624,0.0
18,18.0,['arm broken well helped friendly staff arm still hurts'],-0.2263,0.376,0.303,0.321
19,19.0,['staff looked like funeral unsociable turned around took paracetemol'],0.0,0.208,0.583,0.208
20,20.0,['receptionist doesnt want help dont dutch passport friend translate didnt work im going back russia theyll help'],-0.7481,0.392,0.608,0.0
21,21.0,['appendix come done well doctor sisters friendly reassured completely happy'],0.8999,0.0,0.333,0.667
22,22.0,['3 children born midwives bit less nice fortunately doctor nice im happy pity doctor not allow another child uterus prolapsed ectopic pregnancy'],0.7048,0.135,0.56,0.305
23,23.0,['gave birth diabetes hospital addition wanted drink wine childbirth not allowed bring alcohol inside think sisters secretly drank delivery didnt go well fainted several times midwife thought wasnt putting enough effort get child'],-0.2057,0.054,0.946,0.0
24,24.0,['ive corona place wasnt allowed even though couldnt breathe almost choked ic didnt take seriously im still alive thanks nobody helped never go go arnhem hospital help'],0.8766,0.0,0.646,0.354
25,25.0,['go ic corona couldnt go room mark rutte hugo de jonge could die didnt arrange fortunately allowed go hospital arnhem hospital helped'],-0.5994,0.157,0.843,0.0
26,26.0,['mentally disabled son 21 helped bedwetting unfortunately pees floor instead bed rug smells like piss'],-0.3818,0.26,0.612,0.128
27,27.0,['mommy went never came back'],0.0,0.0,1.0,0.0
28,28.0,['sent doctor speech therapy child lisps even'],0.0,0.0,1.0,0.0
29,29.0,['could longer smell corona sent icu experts nice people think dont smell back'],0.4215,0.0,0.811,0.189
30,30.0,['mother mri scan yesterday everything going great good fine sisters'],0.8316,0.0,0.443,0.557
31,31.0,['toe broken yesterday wanted go hospital asap sent home wasnt broken im tossing turning bed great anger'],-0.7003,0.367,0.481,0.152
32,32.0,['doctors laptop battery dead wait take battery bag wait'],-0.6486,0.35,0.65,0.0
33,33.0,['think hospital pritty like sisters nice'],0.6486,0.0,0.43,0.57
34,34.0,['mole apparently cancerous dermatologist doctor said im going die nice'],-0.2732,0.265,0.544,0.19
35,35.0,['watch running late late investigation im going back home'],0.0,0.0,1.0,0.0
36,36.0,['top hospital didnt die cold'],0.6054,0.0,0.378,0.622
37,37.0,['cunt cunt cunt cunt cunt hospital nose crooked'],-0.9432,0.842,0.158,0.0
38,38.0,['wife cancer annoying everyone'],-0.7964,0.78,0.22,0.0
39,39.0,['tire flat not even allowed fix tire hospital 1 star grrr'],-0.1027,0.135,0.865,0.0
40,40.0,['spent three hours walking pharmacy waiting cough syrup'],0.0,0.0,1.0,0.0
41,41.0,['went emergency room last friday son swallowed lego cap helpful great coffee'],0.6486,0.141,0.486,0.373
42,42.0,['appendix removed good aftercare nice sisters press bell came red cabbage catering tasted really nasty'],0.204,0.18,0.556,0.264
43,43.0,['gave birth eighth child first wanted give birth home like 7 children took 3 days moved hospital wanted know medicines taken said herbal tea day drink glass wine every day concerned sisters grumpy baby immediately recommended vaccinate dont want child handle everything going well marliesmirthe'],0.6343,0.026,0.837,0.137
44,44.0,['broke arm well helped staff xray department nice plaster put quickly nurse nice personable exchanged number would love break arm'],0.8555,0.093,0.467,0.44
45,45.0,['sterilized operation not pleasant addition wife became pregnant three months later still three stars delicious red cabbage'],0.2495,0.126,0.701,0.173
46,46.0,['came draw blood man service desk uncooperative went person pointed ward got girlfriend could tell story'],0.0,0.0,1.0,0.0
47,47.0,['tasty sandwich chicken breast nice girls great hospital'],0.7845,0.0,0.465,0.535
48,48.0,['jaw surgeon quick painful got good explanation'],0.0,0.269,0.463,0.269
49,49.0,['went sleep issues fell asleep course'],0.0,0.0,1.0,0.0
